"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US01001020100","Census Tract 201, Autauga County, Alabama","725","63",
"1400000US01001020200","Census Tract 202, Autauga County, Alabama","840","73",
"1400000US01001020300","Census Tract 203, Autauga County, Alabama","1428","87",
"1400000US01001020400","Census Tract 204, Autauga County, Alabama","1863","100",
"1400000US01001020500","Census Tract 205, Autauga County, Alabama","4622","212",
"1400000US01001020600","Census Tract 206, Autauga County, Alabama","1436","100",
"1400000US01001020700","Census Tract 207, Autauga County, Alabama","1415","104",
"1400000US01001020801","Census Tract 208.01, Autauga County, Alabama","1316","78",
"1400000US01001020802","Census Tract 208.02, Autauga County, Alabama","4327","251",
"1400000US01001020900","Census Tract 209, Autauga County, Alabama","2523","139",
"1400000US01001021000","Census Tract 210, Autauga County, Alabama","1294","116",
"1400000US01001021100","Census Tract 211, Autauga County, Alabama","1704","173",
"1400000US01003010100","Census Tract 101, Baldwin County, Alabama","2207","169",
"1400000US01003010200","Census Tract 102, Baldwin County, Alabama","1375","102",
"1400000US01003010300","Census Tract 103, Baldwin County, Alabama","3126","240",
"1400000US01003010400","Census Tract 104, Baldwin County, Alabama","2219","149",
"1400000US01003010500","Census Tract 105, Baldwin County, Alabama","2101","248",
"1400000US01003010600","Census Tract 106, Baldwin County, Alabama","1396","170",
"1400000US01003010701","Census Tract 107.01, Baldwin County, Alabama","3520","312",
"1400000US01003010703","Census Tract 107.03, Baldwin County, Alabama","7261","368",
"1400000US01003010704","Census Tract 107.04, Baldwin County, Alabama","2017","139",
"1400000US01003010705","Census Tract 107.05, Baldwin County, Alabama","4349","296",
"1400000US01003010800","Census Tract 108, Baldwin County, Alabama","3094","205",
"1400000US01003010903","Census Tract 109.03, Baldwin County, Alabama","2160","151",
"1400000US01003010904","Census Tract 109.04, Baldwin County, Alabama","2955","176",
"1400000US01003010905","Census Tract 109.05, Baldwin County, Alabama","3823","258",
"1400000US01003010906","Census Tract 109.06, Baldwin County, Alabama","1892","184",
"1400000US01003011000","Census Tract 110, Baldwin County, Alabama","1945","115",
"1400000US01003011101","Census Tract 111.01, Baldwin County, Alabama","4481","250",
"1400000US01003011102","Census Tract 111.02, Baldwin County, Alabama","2072","130",
"1400000US01003011201","Census Tract 112.01, Baldwin County, Alabama","2612","164",
"1400000US01003011202","Census Tract 112.02, Baldwin County, Alabama","3205","208",
"1400000US01003011300","Census Tract 113, Baldwin County, Alabama","2594","133",
"1400000US01003011401","Census Tract 114.01, Baldwin County, Alabama","5594","265",
"1400000US01003011403","Census Tract 114.03, Baldwin County, Alabama","6112","399",
"1400000US01003011405","Census Tract 114.05, Baldwin County, Alabama","8369","267",
"1400000US01003011406","Census Tract 114.06, Baldwin County, Alabama","7718","238",
"1400000US01003011407","Census Tract 114.07, Baldwin County, Alabama","7359","364",
"1400000US01003011408","Census Tract 114.08, Baldwin County, Alabama","2672","66",
"1400000US01003011501","Census Tract 115.01, Baldwin County, Alabama","3115","249",
"1400000US01003011502","Census Tract 115.02, Baldwin County, Alabama","6424","474",
"1400000US01003011601","Census Tract 116.01, Baldwin County, Alabama","3080","168",
"1400000US01003011602","Census Tract 116.02, Baldwin County, Alabama","3317","170",
"1400000US01003990000","Census Tract 9900, Baldwin County, Alabama","0","12",
"1400000US01005950100","Census Tract 9501, Barbour County, Alabama","1602","98",
"1400000US01005950200","Census Tract 9502, Barbour County, Alabama","1336","186",
"1400000US01005950300","Census Tract 9503, Barbour County, Alabama","880","81",
"1400000US01005950400","Census Tract 9504, Barbour County, Alabama","1468","143",
"1400000US01005950500","Census Tract 9505, Barbour County, Alabama","2016","135",
"1400000US01005950600","Census Tract 9506, Barbour County, Alabama","896","70",
"1400000US01005950700","Census Tract 9507, Barbour County, Alabama","677","62",
"1400000US01005950800","Census Tract 9508, Barbour County, Alabama","1194","87",
"1400000US01005950900","Census Tract 9509, Barbour County, Alabama","1944","122",
"1400000US01007010001","Census Tract 100.01, Bibb County, Alabama","1156","101",
"1400000US01007010002","Census Tract 100.02, Bibb County, Alabama","2368","233",
"1400000US01007010003","Census Tract 100.03, Bibb County, Alabama","2560","197",
"1400000US01007010004","Census Tract 100.04, Bibb County, Alabama","3101","290",
"1400000US01009050101","Census Tract 501.01, Blount County, Alabama","3242","179",
"1400000US01009050102","Census Tract 501.02, Blount County, Alabama","3133","255",
"1400000US01009050200","Census Tract 502, Blount County, Alabama","1590","91",
"1400000US01009050300","Census Tract 503, Blount County, Alabama","2438","117",
"1400000US01009050400","Census Tract 504, Blount County, Alabama","1995","115",
"1400000US01009050500","Census Tract 505, Blount County, Alabama","3140","124",
"1400000US01009050601","Census Tract 506.01, Blount County, Alabama","1609","105",
"1400000US01009050602","Census Tract 506.02, Blount County, Alabama","3694","142",
"1400000US01009050700","Census Tract 507, Blount County, Alabama","3482","189",
"1400000US01011952100","Census Tract 9521, Bullock County, Alabama","832","146",
"1400000US01011952200","Census Tract 9522, Bullock County, Alabama","2399","233",
"1400000US01011952500","Census Tract 9525, Bullock County, Alabama","1326","154",
"1400000US01013952700","Census Tract 9527, Butler County, Alabama","1169","77",
"1400000US01013952800","Census Tract 9528, Butler County, Alabama","627","55",
"1400000US01013952900","Census Tract 9529, Butler County, Alabama","993","76",
"1400000US01013953000","Census Tract 9530, Butler County, Alabama","876","65",
"1400000US01013953100","Census Tract 9531, Butler County, Alabama","1335","96",
"1400000US01013953200","Census Tract 9532, Butler County, Alabama","1845","108",
"1400000US01013953300","Census Tract 9533, Butler County, Alabama","1031","74",
"1400000US01013953400","Census Tract 9534, Butler County, Alabama","1482","85",
"1400000US01013953500","Census Tract 9535, Butler County, Alabama","731","65",
"1400000US01015000200","Census Tract 2, Calhoun County, Alabama","1600","110",
"1400000US01015000300","Census Tract 3, Calhoun County, Alabama","1621","102",
"1400000US01015000400","Census Tract 4, Calhoun County, Alabama","1397","103",
"1400000US01015000500","Census Tract 5, Calhoun County, Alabama","953","94",
"1400000US01015000600","Census Tract 6, Calhoun County, Alabama","941","63",
"1400000US01015000700","Census Tract 7, Calhoun County, Alabama","1508","96",
"1400000US01015000800","Census Tract 8, Calhoun County, Alabama","667","53",
"1400000US01015000900","Census Tract 9, Calhoun County, Alabama","1800","97",
"1400000US01015001000","Census Tract 10, Calhoun County, Alabama","2801","135",
"1400000US01015001100","Census Tract 11, Calhoun County, Alabama","3032","208",
"1400000US01015001201","Census Tract 12.01, Calhoun County, Alabama","1527","110",
"1400000US01015001202","Census Tract 12.02, Calhoun County, Alabama","1660","122",
"1400000US01015001300","Census Tract 13, Calhoun County, Alabama","1002","71",
"1400000US01015001400","Census Tract 14, Calhoun County, Alabama","1499","136",
"1400000US01015001500","Census Tract 15, Calhoun County, Alabama","2056","190",
"1400000US01015001600","Census Tract 16, Calhoun County, Alabama","1695","107",
"1400000US01015001700","Census Tract 17, Calhoun County, Alabama","2929","137",
"1400000US01015001800","Census Tract 18, Calhoun County, Alabama","2815","203",
"1400000US01015002000","Census Tract 20, Calhoun County, Alabama","3296","169",
"1400000US01015002101","Census Tract 21.01, Calhoun County, Alabama","1281","101",
"1400000US01015002102","Census Tract 21.02, Calhoun County, Alabama","1468","94",
"1400000US01015002103","Census Tract 21.03, Calhoun County, Alabama","2975","181",
"1400000US01015002200","Census Tract 22, Calhoun County, Alabama","1758","124",
"1400000US01015002300","Census Tract 23, Calhoun County, Alabama","1888","139",
"1400000US01015002400","Census Tract 24, Calhoun County, Alabama","2099","112",
"1400000US01015002501","Census Tract 25.01, Calhoun County, Alabama","3038","154",
"1400000US01015002502","Census Tract 25.02, Calhoun County, Alabama","2054","143",
"1400000US01015002600","Census Tract 26, Calhoun County, Alabama","2271","127",
"1400000US01015981901","Census Tract 9819.01, Calhoun County, Alabama","0","12",
"1400000US01015981902","Census Tract 9819.02, Calhoun County, Alabama","0","12",
"1400000US01015981903","Census Tract 9819.03, Calhoun County, Alabama","0","12",
"1400000US01017953800","Census Tract 9538, Chambers County, Alabama","1847","140",
"1400000US01017953900","Census Tract 9539, Chambers County, Alabama","1575","128",
"1400000US01017954000","Census Tract 9540, Chambers County, Alabama","3054","236",
"1400000US01017954200","Census Tract 9542, Chambers County, Alabama","1475","125",
"1400000US01017954300","Census Tract 9543, Chambers County, Alabama","2994","173",
"1400000US01017954400","Census Tract 9544, Chambers County, Alabama","614","83",
"1400000US01017954500","Census Tract 9545, Chambers County, Alabama","2026","154",
"1400000US01017954600","Census Tract 9546, Chambers County, Alabama","1489","137",
"1400000US01017954700","Census Tract 9547, Chambers County, Alabama","1914","124",
"1400000US01019955701","Census Tract 9557.01, Cherokee County, Alabama","2641","131",
"1400000US01019955702","Census Tract 9557.02, Cherokee County, Alabama","2275","123",
"1400000US01019955800","Census Tract 9558, Cherokee County, Alabama","3459","173",
"1400000US01019955900","Census Tract 9559, Cherokee County, Alabama","1938","102",
"1400000US01019956000","Census Tract 9560, Cherokee County, Alabama","2708","158",
"1400000US01019956100","Census Tract 9561, Cherokee County, Alabama","3558","171",
"1400000US01021060101","Census Tract 601.01, Chilton County, Alabama","2243","207",
"1400000US01021060102","Census Tract 601.02, Chilton County, Alabama","2968","214",
"1400000US01021060200","Census Tract 602, Chilton County, Alabama","1457","105",
"1400000US01021060300","Census Tract 603, Chilton County, Alabama","1926","144",
"1400000US01021060401","Census Tract 604.01, Chilton County, Alabama","2245","132",
"1400000US01021060402","Census Tract 604.02, Chilton County, Alabama","3641","253",
"1400000US01021060500","Census Tract 605, Chilton County, Alabama","1347","101",
"1400000US01021060600","Census Tract 606, Chilton County, Alabama","1475","130",
"1400000US01021060700","Census Tract 607, Chilton County, Alabama","2479","167",
"1400000US01023956700","Census Tract 9567, Choctaw County, Alabama","1948","143",
"1400000US01023956800","Census Tract 9568, Choctaw County, Alabama","2320","145",
"1400000US01023956900","Census Tract 9569, Choctaw County, Alabama","1880","137",
"1400000US01023957000","Census Tract 9570, Choctaw County, Alabama","1211","97",
"1400000US01025957500","Census Tract 9575, Clarke County, Alabama","849","86",
"1400000US01025957601","Census Tract 9576.01, Clarke County, Alabama","546","54",
"1400000US01025957602","Census Tract 9576.02, Clarke County, Alabama","2584","320",
"1400000US01025957700","Census Tract 9577, Clarke County, Alabama","1011","72",
"1400000US01025957800","Census Tract 9578, Clarke County, Alabama","2653","191",
"1400000US01025957901","Census Tract 9579.01, Clarke County, Alabama","1605","105",
"1400000US01025957902","Census Tract 9579.02, Clarke County, Alabama","2074","192",
"1400000US01025958001","Census Tract 9580.01, Clarke County, Alabama","645","64",
"1400000US01025958002","Census Tract 9580.02, Clarke County, Alabama","817","81",
"1400000US01027958900","Census Tract 9589, Clay County, Alabama","2712","129",
"1400000US01027959000","Census Tract 9590, Clay County, Alabama","1521","95",
"1400000US01027959100","Census Tract 9591, Clay County, Alabama","1380","110",
"1400000US01027959200","Census Tract 9592, Clay County, Alabama","1186","112",
"1400000US01029959500","Census Tract 9595, Cleburne County, Alabama","1177","79",
"1400000US01029959600","Census Tract 9596, Cleburne County, Alabama","1933","182",
"1400000US01029959700","Census Tract 9597, Cleburne County, Alabama","1591","101",
"1400000US01029959800","Census Tract 9598, Cleburne County, Alabama","2143","126",
"1400000US01031010100","Census Tract 101, Coffee County, Alabama","994","53",
"1400000US01031010200","Census Tract 102, Coffee County, Alabama","859","51",
"1400000US01031010300","Census Tract 103, Coffee County, Alabama","2083","80",
"1400000US01031010400","Census Tract 104, Coffee County, Alabama","926","64",
"1400000US01031010500","Census Tract 105, Coffee County, Alabama","2152","166",
"1400000US01031010600","Census Tract 106, Coffee County, Alabama","720","50",
"1400000US01031010700","Census Tract 107, Coffee County, Alabama","1074","66",
"1400000US01031010800","Census Tract 108, Coffee County, Alabama","1329","67",
"1400000US01031010900","Census Tract 109, Coffee County, Alabama","958","67",
"1400000US01031011000","Census Tract 110, Coffee County, Alabama","1623","79",
"1400000US01031011100","Census Tract 111, Coffee County, Alabama","941","82",
"1400000US01031011201","Census Tract 112.01, Coffee County, Alabama","3516","152",
